user_id,grant_id,match_data,reason,created_at
be4a7397-d59a-4863-9633-055f57576cb1,3,"{""grant_id"": ""003"", ""name"": ""Innovation Scale-up Grant"", ""relevance_score"": 95.0, ""funding_amount"": ""\u20b925,00,000"", ""soft_approval"": ""No"", ""deadline"": ""2025-10-31"", ""reason"": ""The grant is specifically aimed at established startups ready to scale, which aligns with Asquare's growth/scale-up stage. The sector focus on technology and manufacturing matches Asquare's industry, providing AI solutions in manufacturing. The funding amount of \u20b925,00,000 is suitable for a startup of Asquare's size and needs. Additionally, the grant's national focus aligns with Asquare's location in Chennai."", ""sector"": ""Technology|Manufacturing"", ""eligibility"": ""Established startups ready to scale"", ""application_link"": ""https://scaleup.gov.in"", ""stage"": ""Growth/Scale-up|Established""}","The grant is specifically aimed at established startups ready to scale, which aligns with Asquare's growth/scale-up stage. The sector focus on technology and manufacturing matches Asquare's industry, providing AI solutions in manufacturing. The funding amount of ₹25,00,000 is suitable for a startup of Asquare's size and needs. Additionally, the grant's national focus aligns with Asquare's location in Chennai.",2025-10-24T11:08:38.248676+00:00
be4a7397-d59a-4863-9633-055f57576cb1,7,"{""grant_id"": ""007"", ""name"": ""Manufacturing Excellence"", ""relevance_score"": 90.0, ""funding_amount"": ""\u20b930,00,000"", ""soft_approval"": ""No"", ""deadline"": ""2025-11-30"", ""reason"": ""This grant targets manufacturing startups with export potential, which is relevant to Asquare as it operates in the manufacturing sector. Although Asquare is not explicitly focused on exports, the grant's emphasis on process innovation aligns with Asquare's AI solutions aimed at improving manufacturing processes. The funding amount of \u20b930,00,000 is generous and suitable for a growth-stage startup. The regional focus is on Gujarat, but the grant's national relevance still applies."", ""sector"": ""Manufacturing"", ""eligibility"": ""Manufacturing startups with export potential"", ""application_link"": ""https://manufacturing.gov.in"", ""stage"": ""Established""}","This grant targets manufacturing startups with export potential, which is relevant to Asquare as it operates in the manufacturing sector. Although Asquare is not explicitly focused on exports, the grant's emphasis on process innovation aligns with Asquare's AI solutions aimed at improving manufacturing processes. The funding amount of ₹30,00,000 is generous and suitable for a growth-stage startup. The regional focus is on Gujarat, but the grant's national relevance still applies.",2025-10-24T11:08:38.248676+00:00
be4a7397-d59a-4863-9633-055f57576cb1,10,"{""grant_id"": ""010"", ""name"": ""Academic Innovation Grant"", ""relevance_score"": 85.0, ""funding_amount"": ""\u20b96,00,000"", ""soft_approval"": ""No"", ""deadline"": ""2025-12-31"", ""reason"": ""Asquare is an academic entity providing AI solutions, making it eligible for this grant aimed at startups founded by academicians. The grant's focus on innovation and research aligns with Asquare's profile. The funding amount of \u20b96,00,000 is appropriate for a startup of Asquare's size and stage, and the national focus aligns with its location in Chennai."", ""sector"": ""All Sectors"", ""eligibility"": ""Startups founded by academicians/students"", ""application_link"": ""https://academic.gov.in/innovation"", ""stage"": ""Ideation|Start-up""}","Asquare is an academic entity providing AI solutions, making it eligible for this grant aimed at startups founded by academicians. The grant's focus on innovation and research aligns with Asquare's profile. The funding amount of ₹6,00,000 is appropriate for a startup of Asquare's size and stage, and the national focus aligns with its location in Chennai.",2025-10-24T11:08:38.248676+00:00
be4a7397-d59a-4863-9633-055f57576cb1,9,"{""grant_id"": ""009"", ""name"": ""Green Technology Fund"", ""relevance_score"": 80.0, ""funding_amount"": ""\u20b918,00,000"", ""soft_approval"": ""No"", ""deadline"": ""2025-09-15"", ""reason"": ""While Asquare is primarily in manufacturing, the grant focuses on sustainable solutions, which can encompass AI technologies that improve manufacturing efficiency and reduce environmental impact. The funding amount of \u20b918,00,000 is suitable for a growth-stage startup. The national focus aligns with Asquare's location, and the grant's emphasis on innovation aligns with the startup's AI solutions."", ""sector"": ""Clean Energy|Environment"", ""eligibility"": ""Startups working on sustainable solutions"", ""application_link"": ""https://greentech.gov.in"", ""stage"": ""Start-up|Growth/Scale-up""}","While Asquare is primarily in manufacturing, the grant focuses on sustainable solutions, which can encompass AI technologies that improve manufacturing efficiency and reduce environmental impact. The funding amount of ₹18,00,000 is suitable for a growth-stage startup. The national focus aligns with Asquare's location, and the grant's emphasis on innovation aligns with the startup's AI solutions.",2025-10-24T11:08:38.248676+00:00
be4a7397-d59a-4863-9633-055f57576cb1,5,"{""grant_id"": ""005"", ""name"": ""Fintech Innovation Challenge"", ""relevance_score"": 75.0, ""funding_amount"": ""\u20b912,00,000"", ""soft_approval"": ""No"", ""deadline"": ""2025-08-31"", ""reason"": ""Although Asquare is not a fintech startup, the grant's focus on scalable solutions can be relevant if Asquare's AI solutions are applied in financial contexts. The funding amount of \u20b912,00,000 is reasonable for a growth-stage startup. The national focus and general eligibility criteria make this grant a potential fit, although it is less aligned than others."", ""sector"": ""Fintech"", ""eligibility"": ""Fintech startups with scalable solutions"", ""application_link"": ""https://fintech.gov.in/challenge"", ""stage"": ""Start-up|Growth/Scale-up""}","Although Asquare is not a fintech startup, the grant's focus on scalable solutions can be relevant if Asquare's AI solutions are applied in financial contexts. The funding amount of ₹12,00,000 is reasonable for a growth-stage startup. The national focus and general eligibility criteria make this grant a potential fit, although it is less aligned than others.",2025-10-24T11:08:38.248676+00:00
be4a7397-d59a-4863-9633-055f57576cb1,6,"{""grant_id"": ""006"", ""name"": ""Social Enterprise Grant"", ""relevance_score"": 70.0, ""funding_amount"": ""\u20b98,00,000"", ""soft_approval"": ""No"", ""deadline"": ""2025-12-15"", ""reason"": ""This grant is aimed at social enterprises, which may not directly align with Asquare's primary focus on manufacturing. However, if Asquare's AI solutions have a social impact component, it could be relevant. The funding amount of \u20b98,00,000 is suitable for a startup of Asquare's size. The national focus aligns with its location, but the eligibility criteria may not fully match."", ""sector"": ""Social Enterprise"", ""eligibility"": ""Non-profit and social enterprises"", ""application_link"": ""https://social.gov.in/grants"", ""stage"": ""Start-up|Growth/Scale-up""}","This grant is aimed at social enterprises, which may not directly align with Asquare's primary focus on manufacturing. However, if Asquare's AI solutions have a social impact component, it could be relevant. The funding amount of ₹8,00,000 is suitable for a startup of Asquare's size. The national focus aligns with its location, but the eligibility criteria may not fully match.",2025-10-24T11:08:38.248676+00:00
be4a7397-d59a-4863-9633-055f57576cb1,12,"{""grant_id"": ""012"", ""name"": ""Rural Development Grant"", ""relevance_score"": 65.0, ""funding_amount"": ""\u20b910,00,000"", ""soft_approval"": ""No"", ""deadline"": ""2025-10-30"", ""reason"": ""This grant targets startups addressing rural challenges, which may not directly align with Asquare's focus on manufacturing AI solutions. However, if Asquare's technology can be applied to rural development in manufacturing contexts, it could be relevant. The funding amount of \u20b910,00,000 is suitable, and the national focus aligns with its location."", ""sector"": ""Agriculture|Social Enterprise"", ""eligibility"": ""Startups addressing rural challenges"", ""application_link"": ""https://rural.gov.in/development"", ""stage"": ""Start-up|Growth/Scale-up""}","This grant targets startups addressing rural challenges, which may not directly align with Asquare's focus on manufacturing AI solutions. However, if Asquare's technology can be applied to rural development in manufacturing contexts, it could be relevant. The funding amount of ₹10,00,000 is suitable, and the national focus aligns with its location.",2025-10-24T11:08:38.248676+00:00
be4a7397-d59a-4863-9633-055f57576cb1,11,"{""grant_id"": ""011"", ""name"": ""Healthcare Innovation Fund"", ""relevance_score"": 60.0, ""funding_amount"": ""\u20b922,00,000"", ""soft_approval"": ""No"", ""deadline"": ""2025-11-20"", ""reason"": ""While Asquare is not in the healthcare sector, if its AI solutions can be adapted for healthcare applications, this grant could be relevant. The funding amount of \u20b922,00,000 is generous, but the primary focus on healthcare limits its direct relevance to Asquare's profile."", ""sector"": ""Biotech|Healthcare"", ""eligibility"": ""Healthcare and medical device startups"", ""application_link"": ""https://healthcare.gov.in/innovation"", ""stage"": ""Growth/Scale-up""}","While Asquare is not in the healthcare sector, if its AI solutions can be adapted for healthcare applications, this grant could be relevant. The funding amount of ₹22,00,000 is generous, but the primary focus on healthcare limits its direct relevance to Asquare's profile.",2025-10-24T11:08:38.248676+00:00
be4a7397-d59a-4863-9633-055f57576cb1,4,"{""grant_id"": ""004"", ""name"": ""Biotech Research Fund"", ""relevance_score"": 55.0, ""funding_amount"": ""\u20b920,00,000"", ""soft_approval"": ""No"", ""deadline"": ""2025-09-30"", ""reason"": ""Asquare's focus on AI solutions does not directly align with biotech, making this grant less relevant. The funding amount of \u20b920,00,000 is suitable, but the eligibility criteria and sector focus do not match Asquare's profile."", ""sector"": ""Biotech"", ""eligibility"": ""Biotech startups with innovative solutions"", ""application_link"": ""https://biotech.gov.in/grants"", ""stage"": ""Ideation|Start-up""}","Asquare's focus on AI solutions does not directly align with biotech, making this grant less relevant. The funding amount of ₹20,00,000 is suitable, but the eligibility criteria and sector focus do not match Asquare's profile.",2025-10-24T11:08:38.248676+00:00
be4a7397-d59a-4863-9633-055f57576cb1,2,"{""grant_id"": ""002"", ""name"": ""Agriculture Innovation Grant"", ""relevance_score"": 50.0, ""funding_amount"": ""\u20b915,00,000"", ""soft_approval"": ""No"", ""deadline"": ""2025-11-15"", ""reason"": ""This grant targets agricultural technology startups, which does not align with Asquare's manufacturing focus. The funding amount of \u20b915,00,000 is reasonable, but the lack of sector alignment makes this grant less relevant."", ""sector"": ""Agriculture"", ""eligibility"": ""Startups working on agricultural technology"", ""application_link"": ""https://grants.gov.in/agri-innovation"", ""stage"": ""Start-up|Growth/Scale-up""}","This grant targets agricultural technology startups, which does not align with Asquare's manufacturing focus. The funding amount of ₹15,00,000 is reasonable, but the lack of sector alignment makes this grant less relevant.",2025-10-24T11:08:38.248676+00:00
